type,machine,target,draft,draft_k,temperature,n_drafted,n_accept,accept_rate,eff_tps,prompt_type
speculative,M2Ultra_192GB,9B_Q8,0.8B_Q8,4,0.0,680,30,0.04412,55.14212398754948,code
speculative,M2Ultra_192GB,9B_Q8,0.8B_Q8,4,0.0,732,17,0.02322,51.18750151621745,text
speculative,M2Ultra_192GB,9B_Q8,0.8B_Q8,4,0.0,708,23,0.03249,53.595246756396264,math
speculative,M2Ultra_192GB,9B_Q8,0.8B_Q8,8,0.0,1464,17,0.01161,53.620575116256994,code
speculative,M2Ultra_192GB,9B_Q8,0.8B_Q8,8,0.0,1528,9,0.005889999999999999,51.034502132680345,text
speculative,M2Ultra_192GB,9B_Q8,0.8B_Q8,8,0.0,1360,30,0.02206,53.45336896891265,math
speculative,M2Ultra_192GB,9B_Q8,2B_Q8,4,0.0,704,25,0.03551,50.22623836315333,code
speculative,M2Ultra_192GB,9B_Q8,2B_Q8,4,0.0,724,19,0.02624,46.426583289510454,text
speculative,M2Ultra_192GB,9B_Q8,2B_Q8,4,0.0,692,27,0.03902,48.68516996851986,math
speculative,M2Ultra_192GB,9B_Q8,2B_Q8,8,0.0,1288,40,0.031059999999999997,48.87257880703333,code
speculative,M2Ultra_192GB,9B_Q8,2B_Q8,8,0.0,1552,6,0.00387,46.027781355370365,text
speculative,M2Ultra_192GB,9B_Q8,2B_Q8,8,0.0,1512,11,0.00728,48.43510015231565,math
speculative,M2Ultra_192GB,4B_Q8,4B_Q2,4,0.0,644,39,0.06056,41.68933407364617,code
speculative,M2Ultra_192GB,4B_Q8,4B_Q2,4,0.0,656,36,0.054880000000000005,38.461897515846864,text
speculative,M2Ultra_192GB,4B_Q8,4B_Q2,4,0.0,704,24,0.034089999999999995,40.957326542942184,math
speculative,M2Ultra_192GB,4B_Q8,4B_Q3,4,0.0,748,13,0.01738,41.129918227228366,code
speculative,M2Ultra_192GB,4B_Q8,4B_Q3,4,0.0,740,15,0.02027,38.02219703426863,text
speculative,M2Ultra_192GB,4B_Q8,4B_Q3,4,0.0,652,37,0.056749999999999995,39.94974647276277,math
speculative,M2Ultra_192GB,4B_Q8,4B_Q4,4,0.0,740,16,0.02162,41.31481145253984,code
speculative,M2Ultra_192GB,4B_Q8,4B_Q4,4,0.0,744,14,0.01882,38.9546851778346,text
speculative,M2Ultra_192GB,4B_Q8,4B_Q4,4,0.0,600,50,0.08333,40.82333838853104,math
speculative,M2Ultra_192GB,4B_Q8,4B_Q6,4,0.0,776,6,0.00773,41.484187792368004,code
speculative,M2Ultra_192GB,4B_Q8,4B_Q6,4,0.0,736,16,0.02174,38.418469998088185,text
speculative,M2Ultra_192GB,4B_Q8,4B_Q6,4,0.0,504,74,0.14683,40.27577057025753,math
speculative,M2Ultra_192GB,35B_Q4,0.8B_Q8,4,0.0,704,24,0.034089999999999995,55.48498255143311,code
speculative,M2Ultra_192GB,35B_Q4,0.8B_Q8,4,0.0,756,11,0.01455,51.59466643192316,text
speculative,M2Ultra_192GB,35B_Q4,0.8B_Q8,4,0.0,696,26,0.037360000000000004,53.93703766074336,math
speculative,M2Ultra_192GB,35B_Q4,4B_Q4,4,0.0,772,7,0.00907,39.04597663749064,code
speculative,M2Ultra_192GB,35B_Q4,4B_Q4,4,0.0,788,3,0.00381,36.16785312080577,text
speculative,M2Ultra_192GB,35B_Q4,4B_Q4,4,0.0,628,43,0.06847,37.94082604560453,math
